epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2833,1.53831,2.64538,1.46911,0.04067,1,0.46894,0.26325,1.36076,2.4323,1.15844,0.00022,0.00022,0.00022
2,117.152,1.21224,1.41367,1.23731,0.88266,0.39344,0.71218,0.46015,1.20928,2.04581,1.15482,0.000450892,0.000450892,0.000450892
3,174.327,1.08924,1.04514,1.18964,0.71085,0.57377,0.67308,0.41458,1.34221,1.87855,1.37448,0.00067228,0.00067228,0.00067228
4,230.875,0.96595,0.87045,1.12179,0.84717,0.68158,0.7951,0.53047,1.21763,1.1865,1.24394,0.000884164,0.000884164,0.000884164
5,286.593,0.89904,0.79085,1.0758,0.83706,0.69672,0.79627,0.52253,1.1879,1.21878,1.19684,0.00108654,0.00108654,0.00108654
6,343.027,0.92586,0.7816,1.10256,0.75809,0.71925,0.82353,0.55574,1.07052,1.14805,1.09655,0.00127942,0.00127942,0.00127942
7,399.402,0.91785,0.75469,1.08923,0.6673,0.72338,0.72833,0.44953,1.32873,1.31922,1.2644,0.00146279,0.00146279,0.00146279
8,456.487,0.90805,0.75588,1.07495,0.78758,0.72938,0.80965,0.53197,1.23109,1.14215,1.18063,0.00163666,0.00163666,0.00163666
9,513.024,0.87121,0.70568,1.05833,0.76325,0.7623,0.82585,0.52425,1.23723,1.08576,1.221,0.0016832,0.0016832,0.0016832
10,569.484,0.87084,0.69732,1.05655,0.76303,0.79508,0.83227,0.53143,1.17386,1.12279,1.21,0.0016436,0.0016436,0.0016436
11,625.848,0.85686,0.67567,1.05178,0.8816,0.85447,0.93086,0.66187,0.99795,0.85624,1.08162,0.001604,0.001604,0.001604
12,681.957,0.833,0.66213,1.04477,0.81992,0.85246,0.91683,0.65762,0.99984,0.8615,1.0746,0.0015644,0.0015644,0.0015644
13,738.254,0.81723,0.6638,1.03765,0.88714,0.85246,0.93839,0.66229,0.96866,0.80503,1.07365,0.0015248,0.0015248,0.0015248
14,794.163,0.79151,0.62342,1.02291,0.90904,0.87705,0.94753,0.69617,0.91929,0.7535,1.03405,0.0014852,0.0014852,0.0014852
15,850.308,0.79188,0.61471,1.02399,0.93411,0.84426,0.95292,0.67635,1.01944,0.70734,1.08009,0.0014456,0.0014456,0.0014456
16,906.64,0.77327,0.60325,1.00614,0.92153,0.8664,0.95901,0.72533,0.90688,0.68779,1.01997,0.001406,0.001406,0.001406
17,962.922,0.79328,0.60218,1.02315,0.92196,0.89344,0.97764,0.73251,0.89751,0.68414,1.03181,0.0013664,0.0013664,0.0013664
18,1019.83,0.77984,0.58517,1.00996,0.93065,0.88003,0.9695,0.72726,0.90375,0.66129,1.01816,0.0013268,0.0013268,0.0013268
19,1076.18,0.74638,0.56569,1.00502,0.90371,0.92319,0.95987,0.71205,0.918,0.64957,1.03387,0.0012872,0.0012872,0.0012872
20,1132.02,0.74495,0.559,0.99383,0.9004,0.88922,0.96979,0.71648,0.92692,0.64683,1.02431,0.0012476,0.0012476,0.0012476
21,1188.09,0.74117,0.55604,0.996,0.9578,0.93015,0.97841,0.74338,0.87279,0.60281,0.99597,0.001208,0.001208,0.001208
22,1245.04,0.69789,0.5161,0.97356,0.91911,0.95902,0.97268,0.74422,0.85679,0.59375,0.99826,0.0011684,0.0011684,0.0011684
23,1301.17,0.71259,0.53124,0.99387,0.92026,0.94594,0.97358,0.73838,0.87128,0.59667,0.99725,0.0011288,0.0011288,0.0011288
24,1357.22,0.7122,0.51891,0.9831,0.93905,0.88403,0.97379,0.73634,0.89286,0.61924,1.01048,0.0010892,0.0010892,0.0010892
25,1413.27,0.69396,0.50975,0.97546,0.92498,0.90962,0.9755,0.74915,0.86904,0.58552,0.99892,0.0010496,0.0010496,0.0010496
26,1469.3,0.69947,0.50061,0.98663,0.93728,0.91803,0.97802,0.7379,0.90948,0.58509,1.01052,0.00101,0.00101,0.00101
27,1524.98,0.68931,0.50704,0.96987,0.91608,0.89479,0.96746,0.74935,0.86849,0.58764,0.99162,0.0009704,0.0009704,0.0009704
28,1581.47,0.71062,0.52178,0.98227,0.91068,0.86066,0.96495,0.74712,0.84957,0.62966,1.00321,0.0009308,0.0009308,0.0009308
29,1637.48,0.68516,0.50077,0.97023,0.95301,0.88525,0.97725,0.76047,0.84268,0.57641,0.99372,0.0008912,0.0008912,0.0008912
30,1693.6,0.70818,0.51603,0.98617,0.90902,0.94262,0.97827,0.76492,0.82304,0.56383,0.97925,0.0008516,0.0008516,0.0008516
31,1750.35,0.69041,0.4966,0.96409,0.91732,0.91803,0.9706,0.76207,0.81674,0.65851,0.98143,0.000812,0.000812,0.000812
32,1806.36,0.66928,0.48623,0.96671,0.92651,0.93001,0.97699,0.77019,0.81584,0.5458,0.98248,0.0007724,0.0007724,0.0007724
33,1869.41,0.66316,0.47722,0.96901,0.92913,0.95082,0.97959,0.76326,0.81132,0.51834,0.97635,0.0007328,0.0007328,0.0007328
34,1934.66,0.67511,0.48407,0.96469,0.95078,0.91803,0.98031,0.74675,0.84639,0.55087,0.98963,0.0006932,0.0006932,0.0006932
35,1999.54,0.66135,0.46889,0.95926,0.93902,0.94262,0.98057,0.75272,0.84035,0.53817,0.99056,0.0006536,0.0006536,0.0006536
36,2064.51,0.65393,0.46194,0.95932,0.95832,0.94223,0.98276,0.76535,0.83383,0.55256,0.98412,0.000614,0.000614,0.000614
37,2130.63,0.63336,0.44269,0.9512,0.92788,0.94916,0.98118,0.76968,0.82529,0.53467,0.98597,0.0005744,0.0005744,0.0005744
38,2197,0.65004,0.45632,0.96089,0.92081,0.9531,0.98114,0.76793,0.82204,0.49951,0.97425,0.0005348,0.0005348,0.0005348
39,2261.8,0.62776,0.44761,0.94669,0.93426,0.94262,0.98188,0.77027,0.82302,0.50806,0.97922,0.0004952,0.0004952,0.0004952
40,2327.12,0.63828,0.44806,0.9517,0.93536,0.94262,0.98446,0.77216,0.81461,0.53127,0.97514,0.0004556,0.0004556,0.0004556
41,2390.37,0.65334,0.62276,0.95388,0.93304,0.91375,0.9825,0.76474,0.81185,0.54594,0.97833,0.000416,0.000416,0.000416
42,2455.27,0.61004,0.48498,0.93278,0.96507,0.90587,0.98336,0.76712,0.82524,0.55029,0.99285,0.0003764,0.0003764,0.0003764
43,2519.64,0.59876,0.45422,0.92691,0.93578,0.93443,0.98455,0.76644,0.81622,0.54084,0.9859,0.0003368,0.0003368,0.0003368
44,2583.73,0.59718,0.43685,0.91967,0.95026,0.94262,0.98519,0.7682,0.82957,0.52646,0.98229,0.0002972,0.0002972,0.0002972
45,2648.34,0.58724,0.42579,0.92027,0.93577,0.95531,0.98533,0.77843,0.81556,0.51874,0.98038,0.0002576,0.0002576,0.0002576
46,2712.05,0.58507,0.42727,0.91832,0.94183,0.94262,0.98401,0.77386,0.81151,0.5294,0.97345,0.000218,0.000218,0.000218
47,2775.44,0.58054,0.4236,0.91386,0.91152,0.95902,0.98377,0.77323,0.80494,0.52788,0.97133,0.0001784,0.0001784,0.0001784
48,2838.88,0.57197,0.41845,0.91181,0.92783,0.94835,0.98385,0.77546,0.79854,0.52857,0.9735,0.0001388,0.0001388,0.0001388
49,2902.12,0.56882,0.40542,0.90586,0.91201,0.95902,0.98347,0.77766,0.79053,0.52158,0.97459,9.92e-05,9.92e-05,9.92e-05
50,2966.56,0.56427,0.4021,0.9168,0.90848,0.96721,0.98298,0.77153,0.78412,0.51765,0.97144,5.96e-05,5.96e-05,5.96e-05
